
1378655806	2251
1378655871	1668
1378655933	2213
1378656007	1705
1378656122	1215
1378656181	1561
1378656193	624
1378656203	1284
1378656215	494
1378656225	FAIL
1378656242	855
1378656254	3913
1378656268	FAIL
1378656282	FAIL
1378656296	1355
1378656308	FAIL
1378656322	1753
1378656334	2999
1378656347	FAIL
1378656361	3091
1378656375	1550
1378656386	1367
1378656398	1268
1378656412	1194
1378656423	2352
1378656436	2646
1378656449	FAIL
1378656463	FAIL
1378656477	1254
1378656490	548
1378656500	1839
1378656512	FAIL
1378656527	FAIL
1378656541	1904
1378656553	3038
1378656566	2376
1378656579	2420
1378656593	2595
1378656606	2452
1378656618	3376
1378656632	2994
1378656645	3816
1378656659	1831
1378656670	FAIL
1378656685	524
1378656695	118
1378656705	247
1378656716	121
1378656726	545
1378656734	502
1378656744	428
1378656755	259
1378656765	207
1378656778	578
1378656788	1594
1378656800	502
1378656812	105
1378656824	FAIL
1378656838	388
1378656849	1322
1378656860	212
1378656870	542
1378656881	342
1378656895	144
1378656905	FAIL
1378656920	833
1378656933	1339
1378656944	615
1378656955	FAIL
1378656969	FAIL
1378656984	426
1378656994	736
1378657005	1607
1378657018	1727
1378657030	1535
1378657041	1407
1378657053	1420
1378657064	2684
1378657077	1046
1378657088	239
1378657098	3738
1378657112	810
1378657123	1257
1378657135	1004
1378657146	1056
1378657157	FAIL
1378657171	FAIL
1378657198	1502
1378657212	960
1378657224	894
1378657235	588
1378657246	689
1378657257	2883
1378657269	FAIL
1378657284	FAIL
1378657298	FAIL
1378657312	FAIL
1378657326	2864
1378657339	FAIL
1378657353	FAIL
1378657367	610
1378657378	1751
1378657390	160
1378657402	3034
1378657415	715
1378657426	1256
1378657437	FAIL
1378657451	FAIL
1378657466	FAIL
1378657480	FAIL
1378657494	3604
1378657508	FAIL
1378657522	2744
1378657535	2806
1378657548	FAIL
1378657562	FAIL
1378657576	FAIL
1378657590	621
1378657601	1952
1378657613	FAIL
1378657627	FAIL
1378657641	FAIL
1378657655	FAIL
1378657669	FAIL
1378657683	3519
1378657697	FAIL
1378657711	FAIL
1378657725	FAIL
1378657739	366
1378657749	1456
1378657761	1640
1378657772	1115
1378657784	1495
1378657797	FAIL
1378657811	FAIL
1378657825	638
1378657836	FAIL
1378657850	FAIL
1378657864	1363
1378657876	961
1378657887	981
1378657898	646
1378657909	FAIL
1378657923	1326
1378657934	FAIL
1378657948	2314
1378657961	3096
1378657974	2274
1378657986	3841
1378658000	FAIL
1378658014	1683
1378658026	3741
1378658040	629
1378658050	FAIL
1378658065	FAIL
1378658079	1616
1378658092	FAIL
1378658106	FAIL
1378658120	1685
1378658132	1583
1378658144	2176
1378658156	FAIL
1378658170	1170
1378658183	FAIL
1378658197	2440
1378658211	FAIL
1378658225	1942
1378658237	FAIL
1378658251	883
1378658262	FAIL
1378658276	1061
1378658287	2040
1378658299	FAIL
1378658313	FAIL
1378658327	FAIL
1378658341	FAIL
1378658356	FAIL
1378658370	FAIL
1378658384	FAIL
1378658427	FAIL
1378658441	FAIL
1378658455	FAIL
1378658469	FAIL
1378658483	FAIL
1378658497	FAIL
1378658512	FAIL
1378658526	FAIL
1378658540	FAIL
1378658554	FAIL
1378658568	FAIL
1378658582	FAIL
1378658596	FAIL
1378658611	FAIL
1378658625	FAIL
1378658639	FAIL
1378658649	FAIL
1378658664	FAIL
1378658678	3605
1378658692	FAIL
1378658706	FAIL
1378658720	FAIL
1378658735	sending

sending

sending

sending

sending

sending

sending

sending

sending

sending
1378658979	FAIL
1378658996	FAIL
1378659010	FAIL
1378659024	FAIL
1378659038	FAIL
1378659052	FAIL
1378659066	FAIL
1378659080	FAIL
1378659095	912
1378659107	FAIL
1378659121	FAIL
1378659135	402
1378659146	1422
1378659157	FAIL
1378659172	152
1378659182	FAIL
1378659196	1696
1378659209	1104
1378659221	FAIL
1378659235	1133
1378659248	313
1378659258	335
1378659269	810
1378659280	208
1378659290	FAIL
1378659330	143
1378659342	682
1378659352	FAIL
1378659367	545
1378659377	288
1378659387	3655
